date	close
24-Apr-07	193.24
25-Apr-07	195.35
26-Apr-07	198.84
27-Apr-07	199.92
30-Apr-07	199.8
1-May-07	199.47
2-May-07	200.39
3-May-07	200.4
4-May-07	200.81
7-May-07	203.92
8-May-07	205.06
9-May-07	206.88
10-May-07	207.34
11-May-07	208.74
14-May-07	209.36
15-May-07	207.52
16-May-07	207.34
17-May-07	209.44
18-May-07	210.02
21-May-07	211.98
22-May-07	213.54
23-May-07	212.89
24-May-07	210.69
25-May-07	213.62
29-May-07	214.35
30-May-07	218.77
31-May-07	221.19
1-Jun-07	218.4
4-Jun-07	221.33
5-Jun-07	222.67
6-Jun-07	223.64
7-Jun-07	224.07
8-Jun-07	224.49
11-Jun-07	220.19
12-Jun-07	220.38
13-Jun-07	217.5
14-Jun-07	218.75
15-Jun-07	220.5
18-Jun-07	225.09
19-Jun-07	223.66
20-Jun-07	221.55
21-Jun-07	223.9
22-Jun-07	223
25-Jun-07	222.34
26-Jun-07	219.65
27-Jun-07	221.89
28-Jun-07	220.56
29-Jun-07	222.04
2-Jul-07	221.26
3-Jul-07	227.17
5-Jul-07	232.75
6-Jul-07	232.3
9-Jul-07	230.33
10-Jul-07	232.35
11-Jul-07	232.39
12-Jul-07	234.07
13-Jul-07	237.73
16-Jul-07	238.1
17-Jul-07	238.91
18-Jul-07	238.12
19-Jul-07	240
20-Jul-07	243.75
23-Jul-07	243.7
24-Jul-07	234.89
25-Jul-07	237.26
26-Jul-07	246
27-Jul-07	243.85
30-Jul-07	241.43
31-Jul-07	231.76
1-Aug-07	235
2-Aug-07	236.49
3-Aug-07	231.85
6-Aug-07	235.25
7-Aug-07	235.03
8-Aug-07	234.01
9-Aug-07	226.39
10-Aug-07	225
13-Aug-07	227.79
14-Aug-07	224.03
15-Aug-07	219.9
16-Aug-07	217.05
17-Aug-07	222.06
20-Aug-07	222.22
21-Aug-07	227.57
22-Aug-07	232.51
23-Aug-07	231.07
24-Aug-07	235.3
27-Aug-07	232.25
28-Aug-07	226.82
29-Aug-07	234.08
30-Aug-07	236.25
31-Aug-07	238.48
4-Sep-07	244.16
5-Sep-07	236.76
6-Sep-07	235.01
7-Sep-07	231.77
10-Sep-07	236.71
11-Sep-07	235.49
12-Sep-07	236.85
13-Sep-07	237.2
14-Sep-07	238.81
17-Sep-07	238.41
18-Sep-07	240.92
19-Sep-07	240.77
20-Sep-07	240.31
21-Sep-07	244.15
24-Sep-07	248.28
25-Sep-07	253.18
26-Sep-07	252.77
27-Sep-07	254.5
28-Sep-07	253.47
1-Oct-07	256.34
2-Oct-07	258.45
3-Oct-07	257.92
4-Oct-07	256.24
5-Oct-07	261.45
8-Oct-07	267.91
9-Oct-07	267.86
10-Oct-07	266.79
11-Oct-07	262.23
12-Oct-07	267.25
15-Oct-07	266.98
16-Oct-07	269.58
17-Oct-07	272.75
18-Oct-07	273.5
19-Oct-07	270.42
22-Oct-07	274.36
23-Oct-07	286.16
24-Oct-07	285.93
25-Oct-07	282.78
26-Oct-07	284.7
29-Oct-07	285.09
30-Oct-07	287
31-Oct-07	289.95
1-Nov-07	287.44
2-Nov-07	287.87
5-Nov-07	286.18
6-Nov-07	291.79
7-Nov-07	286.3
8-Nov-07	275.47
9-Nov-07	265.37
12-Nov-07	253.76
13-Nov-07	269.96
14-Nov-07	266.11
15-Nov-07	264.3
16-Nov-07	266.39
19-Nov-07	263.95
20-Nov-07	268.85
21-Nov-07	268.46
23-Nov-07	271.54
26-Nov-07	272.54
27-Nov-07	274.81
28-Nov-07	280.22
29-Nov-07	284.29
30-Nov-07	282.22
3-Dec-07	278.86
4-Dec-07	279.81
5-Dec-07	285.5
6-Dec-07	289.95
7-Dec-07	294.3
10-Dec-07	294.21
11-Dec-07	288.54
12-Dec-07	290.86
13-Dec-07	291.83
14-Dec-07	290.39
17-Dec-07	284.4
18-Dec-07	282.98
19-Dec-07	283.12
20-Dec-07	287.21
21-Dec-07	293.91
24-Dec-07	298.8
26-Dec-07	298.95
27-Dec-07	298.57
28-Dec-07	299.83
31-Dec-07	298.08
2-Jan-08	294.84
3-Jan-08	294.93
4-Jan-08	280.05
7-Jan-08	277.64
8-Jan-08	271.25
9-Jan-08	279.4
10-Jan-08	278.02
11-Jan-08	272.69
14-Jan-08	278.78
15-Jan-08	269.04
16-Jan-08	259.64
17-Jan-08	260.89
18-Jan-08	261.36
22-Jan-08	255.64
23-Jan-08	239.07
24-Jan-08	235.6
25-Jan-08	230.01
28-Jan-08	230.01
29-Jan-08	231.54
30-Jan-08	232.18
31-Jan-08	235.36
1-Feb-08	233.75
4-Feb-08	231.65
5-Feb-08	229.36
6-Feb-08	222
7-Feb-08	221.24
8-Feb-08	225.48
11-Feb-08	229.45
12-Feb-08	224.86
13-Feb-08	229.4
14-Feb-08	227.46
15-Feb-08	224.63
19-Feb-08	222.18
20-Feb-08	223.82
21-Feb-08	221.54
22-Feb-08	219.46
25-Feb-08	219.74
26-Feb-08	219.15
27-Feb-08	222.96
28-Feb-08	229.91
29-Feb-08	225.02
3-Mar-08	221.73
4-Mar-08	224.62
5-Mar-08	224.49
6-Mar-08	220.93
7-Mar-08	222.25
10-Mar-08	219.69
11-Mar-08	227.35
12-Mar-08	226.03
13-Mar-08	227.94
14-Mar-08	226.61
17-Mar-08	226.73
18-Mar-08	232.82
19-Mar-08	229.67
20-Mar-08	233.27
24-Mar-08	239.53
25-Mar-08	240.98
26-Mar-08	245.06
27-Mar-08	240.25
28-Mar-08	243.01
31-Mar-08	243.5
1-Apr-08	249.53
2-Apr-08	247.49
3-Apr-08	251.61
4-Apr-08	253.08
7-Apr-08	255.89
8-Apr-08	252.84
9-Apr-08	251.44
10-Apr-08	254.55
11-Apr-08	247.14
14-Apr-08	247.78
15-Apr-08	248.38
16-Apr-08	253.7
17-Apr-08	254.49
18-Apr-08	261.04
21-Apr-08	268.16
22-Apr-08	260.2
23-Apr-08	262.89
24-Apr-08	268.94
25-Apr-08	269.73
28-Apr-08	272.24
29-Apr-08	275.05
30-Apr-08	273.95
1-May-08	280
2-May-08	280.94
5-May-08	284.73
6-May-08	286.66
7-May-08	282.59
8-May-08	285.06
9-May-08	283.45
12-May-08	288.16
13-May-08	289.96
14-May-08	286.26
15-May-08	289.73
16-May-08	287.62
19-May-08	283.6
20-May-08	285.9
21-May-08	278.19
22-May-08	277.05
23-May-08	281.17
27-May-08	286.43
28-May-08	287.01
29-May-08	286.69
30-May-08	288.75
2-Jun-08	286.1
3-Jun-08	285.37
4-Jun-08	285.19
5-Jun-08	289.43
6-Jun-08	285.64
9-Jun-08	281.61
10-Jun-08	285.64
11-Jun-08	280.81
12-Jun-08	273.26
13-Jun-08	272.37
16-Jun-08	276.84
17-Jun-08	281.43
18-Jun-08	278.75
19-Jun-08	280.9
20-Jun-08	275.27
23-Jun-08	273.16
24-Jun-08	273.25
25-Jun-08	277.39
26-Jun-08	268.26
27-Jun-08	270.09
30-Jun-08	267.44
1-Jul-08	274.68
2-Jul-08	268.18
3-Jul-08	270.12
7-Jul-08	275.16
8-Jul-08	279.55
